usuario_id;ip_usuario;fecha_envio;genero;edad;provincia;ciudad;tipo_colegio;colegio_actua;ubicacion_estudios;tipo_institucion;factores_carrera;perspectivas_carrera;interes_ia;interes_cc;interes_sw;interes_ti;interes_et;interes_ii;interes_ar;conocimiento_ia;conocimiento_cc;conocimiento_sw;conocimiento_ti;conocimiento_et;conocimiento_ii;conocimiento_ar;seleccion_carrera;otra_carrera
46ace50e668794e1464bda3ead3c4257;200.7.247.235;06/03/2024 10:37;Otro;16 o menos;Tungurahua;Ambato;Fiscal;"Unidad Educativa ""Ambato""";En una escuela de arte o diseño;Exterior (fuera del país);Oportunidades laborales y demanda en el mercado;Neutral;Estoy muy interesado;Neutral;Estoy interesado;Neutral;Poco interesado;Estoy interesado;Estoy muy interesado;He oido del tema;He oido del tema;Tengo conocimientos básicos;He oido del tema;No tengo conocimiento;He oido del tema;No tengo conocimiento;Automatización y Robótica,Ciencias de la Computación;NULL
8c89999b83fcb9d1f8438479fef9e661;200.7.246.208;06/03/2024 10:37;Masculino;16 o menos;Tungurahua;Ambato;Fiscal;Unidad Educativa Ambato ;En un Instituto Técnico/Tecnológico Superior;Exterior (fuera del país);Habilidades e interés personal en el tema;Totalmente de acuerdo;NULL;NULL;NULL;NULL;Neutral;Estoy interesado;Estoy muy interesado;Tengo conocimientos básicos;Tengo conocimientos básicos;Tengo un conocimiento Solido;Tengo conocimientos básicos;Tengo conocimientos básicos;NULL;Conozco algo;Automatización y Robótica,Software,Ciencia de Datos e Inteligencia Artificial;NULL
d45f880d78f021b2dc9ed85ad4ab6cec;200.7.246.45;06/03/2024 10:37;Masculino;16 o menos;Tungurahua;Ambato;Fiscal;Ambato ;En una Universidad y/o Escuela Politécnica;Exterior (fuera del país);Flexibilidad y posibilidad de trabajo remoto;Totalmente de acuerdo;Estoy muy interesado;Estoy muy interesado;Neutral;Neutral;Estoy muy interesado;Poco interesado;Estoy muy interesado;NULL;Tengo un conocimiento Solido;Tengo un conocimiento Solido;Tengo un conocimiento Solido;Tengo un conocimiento Solido;Tengo un conocimiento Solido;NULL;Ciencia de Datos e Inteligencia Artificial,Software,Ciencias de la Computación;NULL
02a6645f24cf415e6f08b4898295cbdd;190.63.65.60;06/03/2024 10:38;Masculino;17;Tungurahua;Ambato;Fiscal;Unidad Educativa Ambato ;En una Universidad y/o Escuela Politécnica;Pública;Recomendación de familiares o amigos,Flexibilidad y posibilidad de trabajo remoto;Neutral;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Conozco algo;Tengo un conocimiento Solido;Conozco algo;Conozco algo;Tengo un conocimiento Solido;Conozco algo;Tengo conocimientos básicos;Ciencia de Datos e Inteligencia Artificial,Ciencias de la Computación,Automatización y Robótica,Ingeniería Industrial,Electrónica y Telecomunicaciones,Tecnologías de la Información,Software;NULL
cdeb4b5672ea4febca6a4e87c4cc86bf;200.7.247.247;06/03/2024 10:38;Femenino;16 o menos;Tungurahua;Ambato;Fiscal;Unidad Educativa Ambato ;NULL;Pública;Oportunidades laborales y demanda en el mercado;De acuerdo;Neutral;Neutral;Neutral;Neutral;Poco interesado;Poco interesado;Neutral;He oido del tema;He oido del tema;Conozco algo;Conozco algo;Conozco algo;Conozco algo;Conozco algo;Ciencia de Datos e Inteligencia Artificial,Electrónica y Telecomunicaciones,Automatización y Robótica,Ingeniería Industrial,Tecnologías de la Información,Software,Ciencias de la Computación;Fonoaudióloga 
142eb025b45b1850f2bcf7bb0429500f;200.7.247.237;06/03/2024 10:39;Masculino;16 o menos;Tungurahua;Ambato;Fiscal;Ambato ;En una Universidad y/o Escuela Politécnica;Pública;Habilidades e interés personal en el tema,Oportunidades laborales y demanda en el mercado,Prestigio de la institución educativa;Totalmente de acuerdo;Neutral;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;He oido del tema;Conozco algo;Conozco algo;Tengo conocimientos básicos;Conozco algo;Tengo conocimientos básicos;NULL;Ciencia de Datos e Inteligencia Artificial,Ciencias de la Computación,Software,Tecnologías de la Información,Electrónica y Telecomunicaciones,Ingeniería Industrial,Automatización y Robótica,Ninguna;Ingeniería en Video juegos 
aab3cd96fb74de4fb93f3df0552b5c31;200.7.247.235;06/03/2024 10:39;Femenino;17;Tungurahua;Ambato;Fiscal;Unidad educativa Ambato ;En una Universidad y/o Escuela Politécnica;NULL;Oportunidades laborales y demanda en el mercado;Totalmente de acuerdo;No estoy interesado;Poco interesado;No estoy interesado;No estoy interesado;No estoy interesado;No estoy interesado;NULL;He oido del tema;Conozco algo;Conozco algo;Conozco algo;Conozco algo;He oido del tema;He oido del tema;Ciencias de la Computación,Ingeniería Industrial;NULL
1ccf582c07e2cd5a8e348466df97c165;181.196.104.78;06/03/2024 10:39;Masculino;16 o menos;Tungurahua;Ambato;Fiscal;UNIDAD EDUCATIVA AMBATO ;En una Universidad y/o Escuela Politécnica;Exterior (fuera del país);Oportunidades laborales y demanda en el mercado,Flexibilidad y posibilidad de trabajo remoto,Habilidades e interés personal en el tema;Neutral;Estoy muy interesado;Neutral;Neutral;Estoy interesado;Poco interesado;Estoy interesado;Estoy muy interesado;He oido del tema;He oido del tema;He oido del tema;Conozco algo;Tengo un conocimiento Solido;Conozco algo;Tengo un conocimiento Solido;Ciencia de Datos e Inteligencia Artificial,Automatización y Robótica;MECATRONICA
a84661b1ecd0cc104771dc69db545781;200.7.246.221;06/03/2024 10:40;Femenino;16 o menos;Tungurahua;Ambato;Fiscal;"Unidad Educativa ""Ambato""";En una Universidad y/o Escuela Politécnica;Pública;Habilidades e interés personal en el tema;Totalmente de acuerdo;Estoy muy interesado;Neutral;Estoy muy interesado;Estoy muy interesado;Estoy muy interesado;Estoy interesado;Estoy muy interesado;Tengo un conocimiento Solido;Conozco algo;He oido del tema;Conozco algo;Conozco algo;He oido del tema;No tengo conocimiento;Automatización y Robótica;NULL
a7b3f35d2088e75f662109d6fb4b1744;181.196.104.78;06/03/2024 10:40;Masculino;16 o menos;Tungurahua;Ambato;Fiscal;NULL;En un Instituto Técnico/Tecnológico Superior;Pública;Habilidades e interés personal en el tema;De acuerdo;Neutral;Neutral;Estoy interesado;Neutral;Estoy interesado;Neutral;Neutral;He oido del tema;Conozco algo;Conozco algo;Conozco algo;Conozco algo;Conozco algo;Conozco algo;Tecnologías de la Información;
