genero;edad;provincia;ciudad;tipo_colegio;colegio_actua;ubicacion_estudios;tipo_institucion;factor_carrera;perspectivas_carrera;interes_ia;interes_cc;interes_sw;interes_ti;interes_et;interes_ii;interes_ar;conocimiento_ia;conocimiento_cc;conocimiento_sw;conocimiento_ti;conocimiento_et;conocimiento_ii;conocimiento_ar;carrera
OTRO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA ESCUELA DE ARTE O DISEÑO;EXTERIOR (FUERA DEL PAÍS);OPORTUNIDADES LABORALES Y DEMANDA EN EL MERCADO;NEUTRAL;ESTOY MUY INTERESADO;NEUTRAL;ESTOY INTERESADO;NEUTRAL;POCO INTERESADO;ESTOY INTERESADO;ESTOY MUY INTERESADO;HE OIDO DEL TEMA;HE OIDO DEL TEMA;TENGO CONOCIMIENTOS BÁSICOS;HE OIDO DEL TEMA;NO TENGO CONOCIMIENTO;HE OIDO DEL TEMA;NO TENGO CONOCIMIENTO;AUTOMATIZACIÓN Y ROBÓTICA
OTRO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA ESCUELA DE ARTE O DISEÑO;EXTERIOR (FUERA DEL PAÍS);OPORTUNIDADES LABORALES Y DEMANDA EN EL MERCADO;NEUTRAL;ESTOY MUY INTERESADO;NEUTRAL;ESTOY INTERESADO;NEUTRAL;POCO INTERESADO;ESTOY INTERESADO;ESTOY MUY INTERESADO;HE OIDO DEL TEMA;HE OIDO DEL TEMA;TENGO CONOCIMIENTOS BÁSICOS;HE OIDO DEL TEMA;NO TENGO CONOCIMIENTO;HE OIDO DEL TEMA;NO TENGO CONOCIMIENTO;CIENCIAS DE LA COMPUTACIÓN
OTRO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA ESCUELA DE ARTE O DISEÑO;EXTERIOR (FUERA DEL PAÍS);OPORTUNIDADES LABORALES Y DEMANDA EN EL MERCADO;NEUTRAL;ESTOY MUY INTERESADO;NEUTRAL;ESTOY INTERESADO;NEUTRAL;POCO INTERESADO;ESTOY INTERESADO;ESTOY MUY INTERESADO;HE OIDO DEL TEMA;HE OIDO DEL TEMA;TENGO CONOCIMIENTOS BÁSICOS;HE OIDO DEL TEMA;NO TENGO CONOCIMIENTO;HE OIDO DEL TEMA;NO TENGO CONOCIMIENTO;FISIOTERAPIA
MASCULINO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UN INSTITUTO TÉCNICO/TECNOLÓGICO SUPERIOR;EXTERIOR (FUERA DEL PAÍS);HABILIDADES E INTERÉS PERSONAL EN EL TEMA;TOTALMENTE DE ACUERDO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;NEUTRAL;ESTOY INTERESADO;ESTOY MUY INTERESADO;TENGO CONOCIMIENTOS BÁSICOS;TENGO CONOCIMIENTOS BÁSICOS;TENGO UN CONOCIMIENTO SOLIDO;TENGO CONOCIMIENTOS BÁSICOS;TENGO CONOCIMIENTOS BÁSICOS;CONOZCO ALGO;CONOZCO ALGO;AUTOMATIZACIÓN Y ROBÓTICA
MASCULINO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UN INSTITUTO TÉCNICO/TECNOLÓGICO SUPERIOR;EXTERIOR (FUERA DEL PAÍS);HABILIDADES E INTERÉS PERSONAL EN EL TEMA;TOTALMENTE DE ACUERDO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;NEUTRAL;ESTOY INTERESADO;ESTOY MUY INTERESADO;TENGO CONOCIMIENTOS BÁSICOS;TENGO CONOCIMIENTOS BÁSICOS;TENGO UN CONOCIMIENTO SOLIDO;TENGO CONOCIMIENTOS BÁSICOS;TENGO CONOCIMIENTOS BÁSICOS;CONOZCO ALGO;CONOZCO ALGO;INGENIERÍA DE SOFTWARE
MASCULINO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UN INSTITUTO TÉCNICO/TECNOLÓGICO SUPERIOR;EXTERIOR (FUERA DEL PAÍS);HABILIDADES E INTERÉS PERSONAL EN EL TEMA;TOTALMENTE DE ACUERDO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;NEUTRAL;ESTOY INTERESADO;ESTOY MUY INTERESADO;TENGO CONOCIMIENTOS BÁSICOS;TENGO CONOCIMIENTOS BÁSICOS;TENGO UN CONOCIMIENTO SOLIDO;TENGO CONOCIMIENTOS BÁSICOS;TENGO CONOCIMIENTOS BÁSICOS;CONOZCO ALGO;CONOZCO ALGO;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL
MASCULINO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UN INSTITUTO TÉCNICO/TECNOLÓGICO SUPERIOR;EXTERIOR (FUERA DEL PAÍS);HABILIDADES E INTERÉS PERSONAL EN EL TEMA;TOTALMENTE DE ACUERDO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;NEUTRAL;ESTOY INTERESADO;ESTOY MUY INTERESADO;TENGO CONOCIMIENTOS BÁSICOS;TENGO CONOCIMIENTOS BÁSICOS;TENGO UN CONOCIMIENTO SOLIDO;TENGO CONOCIMIENTOS BÁSICOS;TENGO CONOCIMIENTOS BÁSICOS;CONOZCO ALGO;CONOZCO ALGO;FISIOTERAPIA
MASCULINO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;EXTERIOR (FUERA DEL PAÍS);FLEXIBILIDAD Y POSIBILIDAD DE TRABAJO REMOTO;TOTALMENTE DE ACUERDO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;NEUTRAL;NEUTRAL;ESTOY MUY INTERESADO;POCO INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;TENGO UN CONOCIMIENTO SOLIDO;TENGO UN CONOCIMIENTO SOLIDO;TENGO UN CONOCIMIENTO SOLIDO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL
MASCULINO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;EXTERIOR (FUERA DEL PAÍS);FLEXIBILIDAD Y POSIBILIDAD DE TRABAJO REMOTO;TOTALMENTE DE ACUERDO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;NEUTRAL;NEUTRAL;ESTOY MUY INTERESADO;POCO INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;TENGO UN CONOCIMIENTO SOLIDO;TENGO UN CONOCIMIENTO SOLIDO;TENGO UN CONOCIMIENTO SOLIDO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;INGENIERÍA DE SOFTWARE
MASCULINO;16 O MENOS;TUNGURAHUA;AMBATO;FISCAL;UNIDAD EDUCATIVA AMBATO;EN UNA UNIVERSIDAD Y/O ESCUELA POLITÉCNICA;EXTERIOR (FUERA DEL PAÍS);FLEXIBILIDAD Y POSIBILIDAD DE TRABAJO REMOTO;TOTALMENTE DE ACUERDO;ESTOY MUY INTERESADO;ESTOY MUY INTERESADO;NEUTRAL;NEUTRAL;ESTOY MUY INTERESADO;POCO INTERESADO;ESTOY MUY INTERESADO;CONOZCO ALGO;TENGO UN CONOCIMIENTO SOLIDO;TENGO UN CONOCIMIENTO SOLIDO;TENGO UN CONOCIMIENTO SOLIDO;TENGO UN CONOCIMIENTO SOLIDO;TENGO UN CONOCIMIENTO SOLIDO;CONOZCO ALGO;CIENCIAS DE LA COMPUTACIÓN
