PassengerId,Age,Survived,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
1,22.0,0,False,False,True,False,True,False,False,True
2,38.0,1,True,False,False,True,False,True,False,False
3,26.0,1,False,False,True,True,False,False,False,True
4,35.0,1,True,False,False,True,False,False,False,True
5,35.0,0,False,False,True,False,True,False,False,True
6,,0,False,False,True,False,True,False,True,False
7,54.0,0,True,False,False,False,True,False,False,True
8,2.0,0,False,False,True,False,True,False,False,True
9,27.0,1,False,False,True,True,False,False,False,True
10,14.0,1,False,True,False,True,False,True,False,False
11,4.0,1,False,False,True,True,False,False,False,True
12,58.0,1,True,False,False,True,False,False,False,True
13,20.0,0,False,False,True,False,True,False,False,True
14,39.0,0,False,False,True,False,True,False,False,True
15,14.0,0,False,False,True,True,False,False,False,True
16,55.0,1,False,True,False,True,False,False,False,True
17,2.0,0,False,False,True,False,True,False,True,False
18,,1,False,True,False,False,True,False,False,True
19,31.0,0,False,False,True,True,False,False,False,True
20,,1,False,False,True,True,False,True,False,False
21,35.0,0,False,True,False,False,True,False,False,True
22,34.0,1,False,True,False,False,True,False,False,True
23,15.0,1,False,False,True,True,False,False,True,False
24,28.0,1,True,False,False,False,True,False,False,True
25,8.0,0,False,False,True,True,False,False,False,True
26,38.0,1,False,False,True,True,False,False,False,True
27,,0,False,False,True,False,True,True,False,False
28,19.0,0,True,False,False,False,True,False,False,True
29,,1,False,False,True,True,False,False,True,False
30,,0,False,False,True,False,True,False,False,True
31,40.0,0,True,False,False,False,True,True,False,False
32,,1,True,False,False,True,False,True,False,False
33,,1,False,False,True,True,False,False,True,False
34,66.0,0,False,True,False,False,True,False,False,True
35,28.0,0,True,False,False,False,True,True,False,False
36,42.0,0,True,False,False,False,True,False,False,True
37,,1,False,False,True,False,True,True,False,False
38,21.0,0,False,False,True,False,True,False,False,True
39,18.0,0,False,False,True,True,False,False,False,True
40,14.0,1,False,False,True,True,False,True,False,False
41,40.0,0,False,False,True,True,False,False,False,True
42,27.0,0,False,True,False,True,False,False,False,True
43,,0,False,False,True,False,True,True,False,False
44,3.0,1,False,True,False,True,False,True,False,False
45,19.0,1,False,False,True,True,False,False,True,False
46,,0,False,False,True,False,True,False,False,True
47,,0,False,False,True,False,True,False,True,False
48,,1,False,False,True,True,False,False,True,False
